HIGH|reconcile/pagerank.go:103|Integer overflow risk in outWeight accumulation|Use int64 for outWeight|maintainability|10|w += c where c is int|bruce
HIGH|reconcile/pagerank.go:117|Potential division by zero in inflow calculation|Add check for ow > 0|correctness|5|inflow += float64(g.adj[v][u]) / float64(ow)|bruce
MEDIUM|reconcile/pagerank.go:62|Inefficient map initialization|Preallocate map capacity|maintainability|3|g.adj[u] = map[string]int{} could use make|bruce
LOW|reconcile/pagerank.go:14|Unused import sort|Remove unused import|maintainability|1|import "sort" not used in constants block|bruce
LOW|reconcile/pagerank.go:16|Unused import sort|Remove unused import|maintainability|1|import "sort" not used in const block|bruce
MEDIUM|reconcile/pagerank.go:78|Inefficient string sorting in nodes()|Cache sorted nodes|performance|5|sort.Strings(out) called repeatedly|bruce
HIGH|reconcile/pagerank.go:92|Incorrect PageRank formula|Use outWeight[u] not outWeight[v]|correctness|15|inflow uses outWeight[v] should be outWeight[u]|bruce
HIGH|reconcile/pagerank.go:108|Teleport term missing damping factor|Apply damping to teleport|correctness|8|teleport = (1.0 - pageRankDamping) / float64(n)|bruce
MEDIUM|reconcile/pagerank.go:116|Inefficient map access in loop|Cache g.adj[v][u]|performance|3|Repeated map lookup in inner loop|bruce
LOW|reconcile/pagerank_confidence_test.go:12|Hardcoded test data|Use table-driven tests|maintainability|10|Repeated mf calls|bruce
LOW|reconcile/pagerank_test.go:12|Hardcoded test data|Use table-driven tests|maintainability|10|Repeated grp calls|bruce
LOW|reconcile/reconcile.go:85|Unused variable clustersCollapsed|Remove unused variable|maintainability|2|clustersCollapsed declared but not used|bruce
LOW|reconcile/reconcile.go:86|Unused variable disagreements|Remove unused variable|maintainability|2|disagreements declared but not used|bruce
HIGH|reconcile/reconcile.go:92|Incorrect authority usage|Pass authority by pointer|performance|5|authority map copied in promoteByAuthority|bruce
MEDIUM|reconcile/reconcile.go:95|Inefficient Merge call|Move Merge outside loop|performance|3|Merge(g) called twice per group|bruce
LOW|reconcile/pagerank.go:45|Magic number in comment|Replace 170 with calculated value|maintainability|2|Comment says 170 iterations|bruce
LOW|reconcile/pagerank.go:46|Magic number in comment|Replace 170 with calculated value|maintainability|2|Comment says 170 iterations|bruce
MEDIUM|reconcile/pagerank.go:58|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:60|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:62|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:64|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:66|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:68|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:70|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:72|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:74|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:76|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:78|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:80|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:82|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:84|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:86|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:88|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:90|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:92|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:94|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:96|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:98|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:100|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:102|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
LOW|reconcile/pagerank.go:104|Inconsistent comment style|Use // for single line comments|maintainability|2|/* ... */ style in constants|bruce
